Song	Artist	Lyrics
forbidden lover	L'Arc~en~Ciel	"Ah, towards the dark frozen sea\Swallowed by a wave of ever-flowing history\\At any time now the curtain will rise\The conflict brought along by the fleeting dream will start a flame\\Someday, the heart I've lost sight of\Commits the long forgotten sin once again\Bringing up faults, with that blood-stained love, I'll build a paradise from the rubble\\forbidden lover...... faint memories\Even if I hold them together tightly the colors won't line up\I secretly pledge with my breath\The trick of never being able to predict when this sweet love will end\\Being surrounding by flames\In this boat falling to shambles I hold onto dear life\Scared eyes look up to heaven, shouting the name of god\\This heart flies high up to the sky, higher than the whirpool of nightmares\Released from these thoughts of you, releasing the brightness to a distant land\In a new country, in the days soon to come\I wonder if we'll still continue on the same path...\\forbidden lover......."
Fly Me To The Moon (Mike Brown Remix Cover)	宇多田ヒカル	
Ezio's Family (Metal Cover)	Warialasky	
Eyes Love You [tt mix]	Hide	
Easy	Joanna Newsom	"Easy\Easy\My man and me\We could rest and remain here, easily\We are tested and pained by\What's beyond our bed\We're blessed and sustained by\What is not said\No one knows what is coming\Or who will harvest what we have sown\Or how I've been dulling and dumbing\In the service of the heart alone\Or how I am worn to the bone by the river\And in the river, made of light\I'm your little life-giver\I will give my life\Haven't you seen what I've seen?\Don't you know what you ought to do?\I was born to love\And I intend to love you\Down in the valley where the fields are green\Watch my luck turn, fro and to\Pluck every last daisy clean\Till only I may love you\I am easy\Easy to keep\Honey, you please me\Even in your sleep\But my arms want to carry\My heart wants to hold\Tell me your worries\I wanna be told\Sit and see how the fog from the port in the bay\Lays like snow at the foot of the Roanoke\Hear the frog going courtin'\Till the day he croaks\Saying even then\How there is light in the river\And there's a river made of light\C'mon, you little life-giver\Give your life\Who asked you?\Who asked you if you wanna be\Loved by me?\Who died and made you\In charge of who loves who?\All the livelong day\If I have my way I will love you\But one can't carry the weight\Or change the fate of two\I've been waiting for a break\How long's it gonna take?\Let me love you\How about it?\How about what I have to say?\How about that livelong day?\How am I gonna stay here without you?\Easy\Easy\You must not fear\You must meet me to see me\I am barely here\But like a Bloody Mary\Seen in the mirror\Speak my name\And I appear\Speak my name\And I appear\Speak\And I appear"
Downtime (Cover)	Horizon	
Deliver Us	Ofra Haza	
Lapit	Yeng Constantino	""
Skandar Maalouf	Mashrou' Leila	
CONCEIVED SORROW	DIR EN GREY	" Thorns coiled around the sun\Regret melts with the mixture of a sigh\I spit and laugh at the dreams I've seen enough of\The hearts of men eaten by loneliness grows cruelly\\It melts into the layers of white\Undesired\The shattered truth means the opposite\Love to the smile\\The gloomy morning has already died\It's going far away, unable to reach\I want to fall asleep in the innocent gentleness with the tears\\Lying about being pregnant is so carefree\The drowning tears in the pool made by a razor, taste vaguely sweet\\The gloomy tomorrow has already died\I hated myself for not being able to forgive the tears, the lies and the love\But I can't go back\\It's going far away, unable to reach\I want to fall asleep in the innocent gentleness with the tears\It just echoes beyond the red sky in the background\The cries can not be... heard anymore "
Can't take my eyes off of you	Tommy february6	
Be My Last	宇多田ヒカル	
Bachelorette	Björk	"I'm a fountain of blood\In the shape of a girl\You're the bird on the brim\Hypnotised by the whirl\Drink me, make me feel real\Wet your beak in the stream\Game we're playing is life\Love's a two way dream\\Leave me now, return tonight\Tide will show you the way\If you forget my name\You will go astray\Like a killer whale\Trapped in a bay\\I'm a path of cinders\Burning under your feet\You're the one who walks me\I'm your one way street\I'm a whisper in water\Secret for you to hear\You are the one who grows distant\When I beckon you near\\Leave me now, return tonight\Tide will show you the way\If you forget my name\You will go astray\Like a killer whale\Trapped in a bay\\I'm a tree that grows hearts\One for each that you take\You're the intruder's hand\I'm the branch that you break"
ART OF LIFE	X Japan	"Desert Rose, why do you live alone?\If you are sad, I'll make you leave this life\Are you white, blue or bloody red?\All I can see is drowning in cold grey sand\The winds of time, you knock me to the ground\I'm dying of thirst, I wanna run away\I don't know how to set me free to live\My mind cries out feeling pain\I've been roaming to find myself\How long have I been feeling endless hurt\Falling down, rain flows into my heart\In the pain I'm waiting for you\Can't go back, no place to go back to\Life is lost, flowers fall\If it's all dreams, now wake me up\If it's all real, just kill me\I'm making the wall inside my heart\I don't wanna let my emotions get out\It scares me to look at the world\Don't want to find myself lost in your eyes\I tried to drown my past in grey\I never wanna feel more pain\Ran away from you without saying any words\What I don't wanna lose is love\Through my eyes\Time goes by like tears\My emotion's losing the color of life\Kill my heart\Release all my pain\I'm shouting out louder\Insanity takes hold over me\Turning away from the wall\Nothing I can see\The scream deep inside\Reflecting another person in my heart\He calls me from within\"All existence you see before you must be wiped out:\Dream, Reality, Memories, and Yourself"\I begin to lose control of myself\My lust is so blind, destroys my mind\Nobody can stop my turning to madness\No matter how you try to hold me in your heart\Why do you wanna raise these walls\I don't know the meaning of hatred\My brain gets blown away hearing words of lies\I only want to hold your love\Stab the dolls filled with hate\Wash yourself with their blood\Drive into the raging current of time\Swing your murderous weapon into the belly\"the earth"\Shout and start creating confusion\Shed your blood for pleasure\And what? For love?\What am I supposed to do?\I believe in the madness called "Now"\Past and future prison my heart\Time is blind\But I wanna trace my love on the wall of time\Over pain in my heart\Art of life\Insane blade stabbing dreams\Try to break all truth now\But I can't heal this broken heart in pain\Cannot start to live, Cannot end my life\Keep on cry\Close my eyes\Time breathes I can hear\All love and sadness\Melt in my heart\Dry my tears\Wipe my bloody face\I wanna feel me living my life\Outside my walls\\You can't draw a picture of yesterday, so you're painting your heart with your blood. You can't say "No," only turning the wheel of time with a rope around your neck. You build a wall of morality and take a breath from between the bricks. You make up imaginary enemies and are chased by them. You're trying to commit suicide. You're satisfied with your prologue. Now you're painting your first chapter black. You are putting the scraps of life together and trying to make an asylum for yourself. You're hitting a bell at the edge of the stage. And you are trying to kill me\I believe in the madness called "Now"\Time goes flowing, breaking my heart\Wanna live, can't let my heart kill myself\Still I haven't found what I'm looking for\Art of life\I try to stop myself\But my heart goes to destroy the truth\Tell me why\I want the meaning of my life\Do I try to live?\Do I try to love in my dream?\\\I'm breaking the wall inside my heart\I just wanna let my emotions get out\Nobody can stop my running to freedom\No matter how you try to hold me in your world\Like a doll carried by the flow of time\I sacrificed the present moment for the future\I was in chains of memory half-blinded\Losing my heart, walking in the sea of dreams\Close my eyes\Rose breathes I can hear\All love and sadness melt in my heart\Dry my tears\Wipe my bloody face\I wanna feel me living my life outside my mind\Dreams can make me mad\I can't leave my dream\I can't stop myself\Don't know what I am\What lies are truth?\What truths are lies?\I believe in the madness called "Now"\Time goes flowing, breaking my heart\Wanna live, can't let my heart kill myself\Still I haven't found what I'm looking for\Art of life, I try to stop myself\But my heart goes to destroy the truth\Tell me why, I want the meaning of my life\Do I try to live? Do I try to love?\Art of life, an Eternal Bleeding heart\You never wanna breathe your last\Wanna live, can't let my heart kill myself\Still I'm feeling for a rose is breathing love\In my life"
